Time (UTC-8:00),Temperature
1507071000,69
1507070400,68
1507069800,68
1507069200,69
1507068600,68
1507068000,68
1507067400,68
1507066800,69
1507066200,69
1507065600,68
1507065000,68
1507064400,68
1507063800,69
1507063200,69
1507062600,69
1507062000,69
1507061400,69
1507060800,68
1507060200,68
1507059600,68
1507059000,68
1507058400,69
1507057800,68
1507057200,68
1507056600,69
1507056000,68
1507055400,68
1507054800,67
1507054200,67
1507053600,68
1507053000,68
1507052400,68
1507051800,69
1507051200,69
1507050600,70
1507050000,70
1507049400,70
1507048800,71
1507048200,70
1507047600,68
1507047000,67
1507046400,67
1507045800,66
1507045200,66
1507044600,66
1507044000,65
1507043400,65
1507042800,65
1507042200,65
1507041600,65
1507041000,65
1507040400,64
1507039800,64
1507039200,64
1507038600,64
1507038000,64
1507037400,64
1507036800,65
1507036200,65
1507035600,64
1507035000,65
1507034400,64
1507033800,64
1507033200,64
1507032600,64
1507032000,64
1507031400,64
1507030800,64
1507030200,64
1507029600,64
1507029000,64
1507028400,63
1507027800,63
1507027200,63
1507026600,63
1507026000,63
1507025400,63
1507024800,63
1507024200,63
1507023600,63
1507023000,63
1507022400,63
1507021800,62
1507021200,63
1507020600,63
1507020000,64
1507019400,64
1507018800,64
1507018200,64
1507017600,64
1507017000,64
1507016400,64
1507015800,64
1507015200,64
1507014600,64
1507014000,64
1507013400,64
1507012800,64
1507012200,64
1507011600,64
1507011000,64
1507010400,64
1507009800,64
1507009200,64
1507008600,64
1507008000,65
1507007400,64
1507006800,65
1507006200,65
1507005600,65
1507005000,65
1507004400,65
1507003800,65
1507003200,65
1507002600,65
1507002000,65
1507001400,65
1507000800,66
1507000200,66
1506999600,66
1506999000,66
1506998400,66
1506997800,66
1506997200,66
1506996600,66
1506996000,66
1506995400,66
1506994800,66
1506994200,67
1506993600,67
1506993000,67
1506992400,67
1506991800,67
1506991200,68
1506990600,68
1506990000,68
1506989400,68
1506988800,69
1506988200,69
1506987600,69
1506987000,69
1506986400,69
1506985800,69
1506985200,69
1506984600,69
1506984000,69
1506983400,69
1506982800,69
1506982200,69
1506981600,69
1506981000,69
1506980400,69
1506979800,69
1506979200,70
1506978600,71
1506978000,70
1506977400,70
1506976800,70
1506976200,70
1506975600,69
1506975000,70
1506974400,69
1506973800,69
1506973200,69
1506972600,69
1506972000,69
1506971400,70
1506970800,69
1506970200,69
1506969600,69
1506969000,68
1506968400,68
1506967800,68
1506967200,68
1506966600,69
1506966000,69
1506965400,68
1506964800,67
1506964200,67
1506963600,67
1506963000,68
1506962400,67
1506961800,67
1506961200,67
1506960600,67
1506960000,66
1506959400,67
1506958800,67
1506958200,66
1506957600,65
1506957000,65
1506956400,64
1506955800,64
1506955200,64
1506954600,64
1506954000,64
1506953400,64
1506952800,64
1506952200,64
1506951600,64
1506951000,64
1506950400,64
1506949800,64
1506949200,64
1506948600,64
1506948000,64
1506947400,64
1506946800,64
1506946200,64
1506945600,64
1506945000,64
1506944400,64
1506943800,64
1506943200,64
1506942600,64
1506942000,64
1506941400,64
1506940800,64
1506940200,64
1506939600,65
1506939000,65
1506938400,65
1506937800,65
1506937200,65
1506936600,65
1506936000,65
1506935400,65
1506934800,65
1506934200,66
1506933600,66
1506933000,66
1506932400,66
1506931800,66
1506931200,66
1506930600,66
1506930000,66
1506929400,66
1506928800,66
1506928200,66
1506927600,66
1506927000,66
1506926400,66
1506925800,66
1506925200,66
1506924600,66
1506924000,66
1506923400,66
1506922800,66
1506922200,66
1506921600,66
1506921000,66
1506920400,66
1506919800,66
1506919200,66
1506918600,66
1506918000,66
1506917400,66
1506916800,66
1506916200,66
1506915600,66
1506915000,66
1506914400,65
1506913800,65
1506913200,65
1506912600,65
1506912000,65
1506911400,65
1506910800,65
1506910200,65
1506909600,65
1506909000,65
1506908400,65
1506907800,65
1506907200,65
1506906600,66
1506906000,66
1506905400,66
1506904800,66
1506904200,67
1506903600,67
1506903000,67
1506902400,68
1506901800,68
1506901200,68
1506900600,68
1506900000,69
1506899400,69
1506898800,69
1506898200,69
1506897600,69
1506897000,69
1506896400,68
1506895800,68
1506895200,68
1506894600,68
1506894000,68
1506893400,68
1506892800,68
1506892200,67
1506891600,68
1506891000,68
1506890400,68
1506889800,68
1506889200,68
1506888600,68
1506888000,68
1506887400,69
1506886800,68
1506886200,68
1506885600,68
1506885000,68
1506884400,69
1506883800,69
1506883200,69
1506882600,69
1506882000,70
1506881400,70
1506880800,71
1506880200,70
1506879600,70
1506879000,69
1506878400,68
1506877800,68
1506877200,68
1506876600,67
1506876000,67
1506875400,66
1506874800,66
1506874200,66
1506873600,65
1506873000,65
1506872400,65
1506871800,65
1506871200,64
1506870600,64
1506870000,64
1506869400,64
1506868800,63
1506868200,63
1506867600,63
1506867000,63
1506866400,63
1506865800,64
1506865200,64
1506864600,64
1506864000,64
1506863400,64
1506862800,64
1506862200,64
1506861600,64
1506861000,64
1506860400,64
1506859800,64
1506859200,64
1506858600,64
1506858000,64
1506857400,64
1506856800,64
1506856200,64
1506855600,65
1506855000,65
1506854400,65
1506853800,64
1506853200,64
1506852600,64
1506852000,65
1506851400,65
1506850800,65
1506850200,65
1506849600,65
1506849000,65
1506848400,65
1506847800,65
1506847200,65
1506846600,65
1506846000,65
1506845400,65
1506844800,65
1506844200,65
1506843600,65
1506843000,65
1506842400,65
1506841800,65
1506841200,65
1506840600,65
1506840000,65
1506839400,65
1506838800,64
1506838200,64
1506837600,64
1506837000,64
1506836400,64
1506835800,64
1506835200,64
1506834600,64
1506834000,64
1506833400,64
1506832800,64
1506832200,64
1506831600,64
1506831000,64
1506830400,64
1506829800,64
1506829200,63
1506828600,64
1506828000,64
1506827400,64
1506826800,64
1506826200,64
1506825600,64
1506825000,64
1506824400,64
1506823800,64
1506823200,65
1506822600,65
1506822000,65
1506821400,65
1506820800,66
1506820200,66
1506819600,66
1506819000,67
1506818400,67
1506817800,68
1506817200,67
1506816600,68
1506815400,68
1506814800,68
1506814200,68
1506813600,69
1506813000,68
