Hour of Day,Users,Sessions,Total Events
2016010100,12,12,550
2016010101,12,12,296
2016010102,9,7,289
2016010104,2,2,150
2016010105,9,7,503
2016010106,22,19,781
2016010107,32,29,1034
2016010108,54,49,2814
2016010109,72,68,4667
2016010110,72,65,4375
2016010111,80,74,3233
2016010112,51,46,2579
2016010113,66,61,2824
2016010114,38,35,2036
2016010115,50,50,2338
2016010116,58,50,2717
2016010117,41,35,2836
2016010118,43,38,1439
2016010119,33,32,504
2016010120,34,33,978
2016010121,19,21,599
2016010122,27,27,598
2016010123,21,19,526
2016010200,11,11,191
2016010201,5,5,61
2016010202,11,11,214
2016010203,7,7,290
2016010204,4,4,40
2016010205,13,13,412
2016010206,18,17,878
2016010207,33,30,1861
2016010208,73,69,2711
2016010209,78,77,2731
2016010210,78,71,4105
2016010211,82,77,6114
2016010212,68,63,3760
2016010213,52,50,2541
2016010214,47,46,3413
2016010215,61,51,2708
2016010216,47,43,2764
2016010217,54,52,3646
2016010218,47,39,2359
2016010219,38,38,1368
2016010220,43,41,1660
2016010221,40,39,781
2016010222,18,21,649
2016010223,13,11,440
2016010300,15,15,746
2016010301,6,6,256
2016010302,9,9,933
2016010303,4,4,200
2016010304,11,10,559
2016010305,10,10,262
2016010306,18,19,667
2016010307,40,39,1786
2016010308,77,68,5077
2016010309,112,111,6543
2016010310,132,123,6675
2016010311,114,106,7525
2016010312,83,74,5202
2016010313,91,86,5152
2016010314,84,74,4495
2016010315,90,76,5743
2016010316,93,91,6598
2016010317,94,88,6095
2016010318,63,61,3349
2016010319,57,58,2640
2016010320,40,34,1646
2016010321,37,35,1369
2016010322,43,43,2208
2016010323,17,16,924
2016010400,12,12,589
2016010401,5,5,278
2016010402,2,2,63
2016010403,7,9,367
2016010404,12,10,350
2016010405,18,18,440
2016010406,44,43,1445
2016010407,73,68,2538
2016010408,127,122,8524
2016010409,189,178,10455
2016010410,152,134,9747
2016010411,173,161,13143
2016010412,164,140,9819
2016010413,149,141,7824
2016010414,188,173,10302
2016010415,192,185,8573
2016010416,207,191,12408
2016010417,166,144,10704
2016010418,83,84,3024
2016010419,57,52,1821
2016010420,65,63,2692
2016010421,68,66,2787
2016010422,65,61,2563
2016010423,41,39,2110
2016010500,32,32,2144
2016010501,17,16,638
2016010502,9,9,263
2016010503,9,9,265
2016010504,22,22,602
2016010505,34,30,1124
2016010506,78,77,2991
2016010507,144,140,7055
2016010508,286,276,17000
2016010509,331,308,20898
2016010510,360,345,25051
2016010511,398,367,28060
2016010512,418,392,26277
2016010513,374,343,22708
2016010514,360,335,23048
2016010515,317,296,18654
2016010516,330,297,19249
2016010517,286,259,17301
2016010518,183,163,10760
2016010519,97,91,5882
2016010520,108,104,4069
2016010521,84,79,3310
2016010522,73,68,3399
2016010523,57,52,2585
2016010600,46,47,2478
2016010601,22,21,744
2016010602,10,10,251
2016010603,9,9,205
2016010604,18,16,1274
2016010605,19,19,885
2016010606,74,68,2705
2016010607,145,140,6118
2016010608,300,279,18381
2016010609,362,319,24681
2016010610,414,388,29015
2016010611,362,328,23745
2016010612,304,281,20849
2016010613,274,248,19201
2016010614,274,255,18140
2016010615,295,273,22003
2016010616,272,250,19300
2016010617,274,253,18427
2016010618,135,118,8032
2016010619,104,94,3820
2016010620,73,68,3019
2016010621,79,74,3838
2016010622,74,65,3974
2016010623,63,58,3629
2016010700,22,22,717
2016010701,10,10,964
2016010702,12,12,588
2016010703,15,10,625
2016010704,18,19,982
2016010705,38,37,1523
2016010706,62,57,3208
2016010707,122,119,6885
2016010708,242,231,14565
2016010709,261,242,17761
2016010710,343,323,15217
2016010711,203,186,11566
2016010712,167,152,9103
2016010713,134,125,8280
2016010714,136,122,6339
2016010715,142,133,7614
2016010716,152,144,10576
2016010717,118,100,6772
2016010718,72,66,3035
2016010719,62,58,2087
2016010720,58,57,3628
2016010721,62,60,2269
2016010722,47,46,1841
2016010723,22,21,1091
2016010800,10,10,54
2016010801,15,13,518
2016010802,4,2,63
2016010803,9,9,419
2016010804,9,7,332
2016010805,16,16,493
2016010806,27,26,666
2016010807,74,72,2563
2016010808,135,135,9286
2016010809,147,140,9197
2016010810,144,133,7114
2016010811,105,97,7969
2016010812,105,101,6485
2016010813,89,84,4846
2016010814,93,88,4149
