,Day User,Day Session,Day Event,Hour User,Hour Session,Hour Event
Count,639,639,639,14759,14759,14759
Q1,234.5,302,12733,9,9,245
Q3,750,1007,48695,44,41,1902.5
Min,95,130,4662,1,0,0
Sum,426712,608477,33360139,651701,608222,33388629
Median,366,499,20175,21,19,800
IQR,515.5,705,35962,35,32,1657.5
Range,6299,9098,700005,1406,1347,63814
Mode,223,277,11177,2,1,4
Variance,600685.292,1480818.107,6885518878,5768.03747,4902.743588,23905753.3
Mean,667.780908,952.2331768,52206.7903,44.1561759,41.2102446,2262.255505
Max,6394,9228,704667,1407,1347,63814
StdDev,775.646056,1217.842001,83044.03186,75.9501699,70.02196653,4889.516659
