Date,Summary Type,Count,Sum,Min,Max,Median,Mode,Mean,Q1,Q3,Variance,StdDev,Range,IQR
201601.csv,Users,640,697,882,1511,2714,2478,1774,1017,983,661,674,684,1709
201601.csv,Sessions,793,887,1255,2100,4108,3680,2352,1342,1351,843,866,916,2526
201601.csv,Events,40083,46264,77121,120561,265008,251256,136129,75727,74932,40468,41021,46993,158069
201602.csv,Users,1441,1240,842,637,520,338,275,397,379,384,345,339,279
201602.csv,Sessions,1980,1756,1198,872,680,424,357,532,502,498,429,422,327
201602.csv,Events,122752,103292,63644,44166,30764,19686,15104,24473,19670,19549,18291,18978,13636
201603.csv,Users,316,293,391,669,1004,1490,1895,781,734,885,1263,1163,1996
201603.csv,Sessions,428,390,498,846,1423,2174,2714,998,936,1255,1796,1724,2858
201603.csv,Events,18197,18860,19691,46480,77845,136399,170731,48633,48757,68227,105067,106381,178856
201604.csv,Users,267,192,203,276,242,233,277,335,427,364,315,277,275
201604.csv,Sessions,353,225,243,361,300,303,362,441,530,442,386,339,360
201604.csv,Events,15185,9324,11930,13802,12758,11356,17460,20016,24457,22921,16812,15052,13742
201605.csv,Users,226,250,253,301,587,501,361,248,283,247,209,217,193
201605.csv,Sessions,277,328,319,390,773,646,458,320,356,318,261,271,253
201605.csv,Events,13585,13323,12371,17268,37870,30564,21573,14718,15856,13033,9682,11698,10777
201606.csv,Users,238,224,220,138,167,185,174,171,179,186,165,154,222
201606.csv,Sessions,303,284,279,174,217,249,230,216,244,267,207,197,288
201606.csv,Events,11094,10607,11748,7477,8745,12155,8408,8403,9819,10646,8764,8231,12440
201607.csv,Users,336,185,196,209,287,259,201,195,145,149,208,172,192
201607.csv,Sessions,431,234,255,265,384,341,278,263,189,194,282,225,266
201607.csv,Events,17890,11833,10924,11473,13453,12958,11676,11732,8759,6385,12505,8412,10149
201608.csv,Users,201,207,236,196,198,136,125,190,187,203,205,185,135
201608.csv,Sessions,274,282,321,265,278,170,158,276,276,275,277,237,178
201608.csv,Events,11068,10795,12824,12055,11035,6283,7781,9406,11743,10528,8819,10343,6477
201609.csv,Users,171,254,194,236,440,232,190,189,163,95,132,193,314
201609.csv,Sessions,242,343,232,284,588,309,268,257,219,130,170,272,424
201609.csv,Events,11279,13739,10133,12666,28782,13316,11165,9292,9180,5391,5784,12425,21265
201610.csv,Users,138,473,531,282,226,221,191,136,122,221,211,217,341
201610.csv,Sessions,175,636,711,365,304,294,251,152,147,298,275,278,485
201610.csv,Events,7992,34943,39012,18719,14170,12282,9981,5420,6995,12733,10777,11794,30321
201611.csv,Users,685,351,299,266,196,203,256,223,209,197,184,165,154
201611.csv,Sessions,896,467,385,339,232,250,333,301,282,258,228,200,200
201611.csv,Events,46267,21772,17045,17459,12511,11007,14461,10929,9470,11723,9753,8646,7181
201612.csv,Users,629,527,364,418,623,913,1370,1979,1752,1558,878,976,1087
201612.csv,Sessions,851,679,445,541,894,1371,2011,3047,2448,2227,1191,1383,1587
201612.csv,Events,44934,33905,19083,32764,65910,94304,137940,231294,142588,139001,65548,78132,89494
201701.csv,Users,1525,3431,3423,4098,3448,2168,3087,3756,4107,5649,4955,4823,2620
201701.csv,Sessions,2187,5458,5606,6795,5194,3016,4897,5746,6528,9228,8123,7473,3751
201701.csv,Events,142630,356434,421027,542446,350833,159439,371366,378603,457969,704667,613374,486059,213362
201702.csv,Users,990,1590,2153,1145,1039,2177,2244,1852,2720,3020,1583,1314,1513
201702.csv,Sessions,1377,2308,3431,1602,1484,3493,3540,2847,4250,4698,2284,1846,2112
201702.csv,Events,64168,117633,206635,84035,88644,226109,204759,156318,233780,272156,115850,86979,100300
201703.csv,Users,919,774,770,1062,2746,2958,1587,935,871,777,453,431,638
201703.csv,Sessions,1262,1009,1005,1506,4576,4824,2239,1291,1182,1033,561,544,833
201703.csv,Events,53798,39580,40466,78506,300929,303051,121295,56201,48433,41442,24142,21878,30842
201704.csv,Users,375,348,503,481,488,1187,1833,1225,597,625,690,743,1484
201704.csv,Sessions,469,433,671,635,639,1661,2763,1752,744,799,914,973,2194
201704.csv,Events,18907,16260,25232,26906,22859,74668,140694,94209,32942,32082,37194,42088,121117
201705.csv,Users,480,389,379,409,444,592,501,433,368,361,455,528,270
201705.csv,Sessions,606,508,510,561,567,775,603,552,487,481,572,687,353
201705.csv,Events,21174,18575,18215,19691,20079,35869,24232,22116,16623,16544,21994,27648,12784
201706.csv,Users,317,301,201,215,327,316,340,438,404,274,581,800,425
201706.csv,Sessions,402,411,255,268,438,403,440,589,522,336,795,1067,538
201706.csv,Events,15134,13073,8956,8816,14390,13331,16126,22850,18795,13413,39388,51402,20575
201707.csv,Users,249,234,412,359,447,456,387,256,279,713,1041,570,347
201707.csv,Sessions,315,306,519,458,591,614,518,335,359,962,1553,818,466
201707.csv,Events,12249,10486,19385,17704,20180,21385,20880,13315,14866,39590,69680,27638,16716
201708.csv,Users,328,329,340,266,223,223,320,284,284,287,259,165,215
201708.csv,Sessions,488,500,500,415,314,308,438,396,415,428,368,220,283
201708.csv,Events,18838,22782,26468,16987,15708,14757,18222,16226,17398,17569,13090,8524,13224
201709.csv,Users,397,264,323,446,521,454,471,415,255,207,344,383,355
201709.csv,Sessions,573,365,441,659,794,670,680,596,335,268,500,560,508
201709.csv,Events,23911,16867,20064,38199,39603,33807,31937,27754,15792,10014,22595,22992,21916
