Date,Users,Sessions,Total Events
20160101,640,793,40083
20160102,697,887,46264
20160103,882,1255,77121
20160104,1511,2100,120561
20160105,2714,4108,265008
20160106,2478,3680,251256
20160107,1774,2352,136129
20160108,1017,1342,75727
20160109,983,1351,74932
20160110,661,843,40468
20160111,674,866,41021
20160112,684,916,46993
20160113,1709,2526,158069
20160114,1898,2842,188890
20160115,1626,2349,143087
20160116,1162,1658,95866
20160117,1329,1852,98787
20160118,1384,1948,106655
20160119,1788,2648,172835
20160120,883,1186,63706
20160121,741,1004,51786
20160122,1393,2057,109965
20160123,1254,1768,98852
20160124,744,972,52910
20160125,704,910,47482
20160126,538,706,30136
20160127,452,586,24778
20160128,642,893,42652
20160129,1297,1947,104579
20160130,1204,1695,96655
20160131,2342,3481,232638
20160201,1441,1980,122752
20160202,1240,1756,103292
20160203,842,1198,63644
20160204,637,872,44166
20160205,520,680,30764
20160206,338,424,19686
20160207,275,357,15104
20160208,397,532,24473
20160209,379,502,19670
20160210,384,498,19549
20160211,345,429,18291
20160212,339,422,18978
20160213,279,327,13636
20160214,265,321,16129
20160215,357,464,23281
20160216,328,416,17957
20160217,871,1238,67907
20160218,1792,2630,165768
20160219,957,1314,67977
20160220,409,510,20969
20160221,341,415,20663
20160222,385,501,22509
20160223,328,420,16269
20160224,313,406,18279
20160225,301,375,15132
20160226,293,373,15495
20160227,216,247,11130
20160228,233,285,11484
20160229,309,376,14690
20160301,316,428,18197
20160302,293,390,18860
20160303,391,498,19691
20160304,669,846,46480
20160305,1004,1423,77845
20160306,1490,2174,136399
20160307,1895,2714,170731
20160308,781,998,48633
20160309,734,936,48757
20160310,885,1255,68227
20160311,1263,1796,105067
20160312,1163,1724,106381
20160313,1996,2858,178856
20160314,1150,1504,85479
20160315,588,753,39526
20160316,482,596,32021
20160317,382,503,20468
20160318,365,478,24059
20160319,256,305,12639
20160320,443,561,28807
20160321,978,1409,80740
20160322,844,1147,66612
20160323,575,822,44281
20160324,436,590,29211
20160325,364,482,25482
20160326,248,317,16793
20160327,352,453,24377
20160328,1981,2905,169531
20160329,895,1154,62567
20160330,518,718,33100
20160331,340,454,21860
20160401,267,353,15185
20160402,192,225,9324
20160403,203,243,11930
20160404,276,361,13802
20160405,242,300,12758
20160406,233,303,11356
20160407,277,362,17460
20160408,335,441,20016
20160409,427,530,24457
20160410,364,442,22921
20160411,315,386,16812
20160412,277,339,15052
20160413,275,360,13742
20160414,559,758,40669
20160415,355,527,27301
20160416,258,348,24007
20160417,231,296,18503
20160418,235,311,12272
20160419,218,278,11921
20160420,218,277,10861
20160421,228,285,10529
20160422,1187,1798,101283
20160423,513,625,31752
