Date,Users,Sessions,Total Events
20160301,316,428,18197
20160302,293,390,18860
20160303,391,498,19691
20160304,669,846,46480
20160305,1004,1423,77845
20160306,1490,2174,136399
20160307,1895,2714,170731
20160308,781,998,48633
20160309,734,936,48757
20160310,885,1255,68227
20160311,1263,1796,105067
20160312,1163,1724,106381
20160313,1996,2858,178856
20160314,1150,1504,85479
20160315,588,753,39526
20160316,482,596,32021
20160317,382,503,20468
20160318,365,478,24059
20160319,256,305,12639
20160320,443,561,28807
20160321,978,1409,80740
20160322,844,1147,66612
20160323,575,822,44281
20160324,436,590,29211
20160325,364,482,25482
20160326,248,317,16793
20160327,352,453,24377
20160328,1981,2905,169531
20160329,895,1154,62567
20160330,518,718,33100
20160331,340,454,21860
