Date,Users,Sessions,Total Events
2016010100,12,12,550
2016010200,11,11,191
2016010300,15,15,746
2016010400,12,12,589
2016010500,32,32,2144
2016010600,46,47,2478
2016010700,22,22,717
2016010800,10,10,54
2016010900,21,21,727
2016011000,23,23,839
2016011100,7,7,134
2016011200,6,6,329
2016011300,16,18,964
2016011400,51,52,1946
2016011500,40,40,1551
2016011600,34,35,1234
2016011700,15,15,431
2016011800,30,30,1405
2016011900,10,10,295
2016012000,13,13,522
2016012100,6,7,54
2016012200,12,13,231
2016012300,19,19,843
2016012400,12,12,448
2016012500,5,5,152
2016012600,9,9,179
2016012700,9,9,178
2016012800,7,7,79
2016012900,13,13,336
2016013000,27,27,1051
2016013100,18,19,1120
2016020100,26,26,1036
2016020200,7,7,710
2016020300,7,7,240
2016020400,12,12,608
2016020500,9,10,140
2016020600,7,7,90
2016020700,4,4,100
2016020800,4,4,68
2016021000,11,11,164
2016021100,4,4,106
2016021300,5,5,90
2016021400,4,4,58
2016021500,9,9,104
2016021600,4,5,44
2016021700,6,6,90
2016021800,29,29,1218
2016021900,7,9,801
2016022000,4,4,44
2016022100,4,4,157
2016022200,5,5,452
2016022300,6,6,320
2016022400,1,1,16
2016022500,5,5,116
2016022600,6,6,177
2016022700,5,5,84
2016022800,2,2,125
2016022900,4,4,130
2016030100,2,2,10
2016030200,1,1,10
2016030300,2,2,32
2016030400,2,2,39
2016030500,18,18,706
2016030600,62,62,3356
2016030700,52,52,3882
2016030800,15,15,803
2016030900,6,6,385
2016031000,9,9,270
2016031100,15,15,328
2016031200,27,27,1089
2016031300,38,39,1823
2016031400,46,46,1884
2016031500,13,13,793
2016031600,2,2,186
2016031700,6,6,146
2016031800,6,6,51
2016031900,9,9,150
2016032000,5,5,163
2016032100,6,6,111
2016032200,11,11,941
2016032300,5,5,358
2016032400,6,6,113
2016032500,2,2,49
2016032600,4,4,246
2016032700,2,2,22
2016032800,7,7,799
2016032900,16,16,407
2016033000,12,12,684
2016033100,5,5,52
2016040100,2,2,4
2016040200,2,2,5
2016040300,1,1,4
2016040400,4,4,54
2016040500,2,2,83
2016040600,2,2,85
2016040700,2,2,24
2016040800,2,2,5
2016040900,6,6,285
2016041000,9,9,201
2016041100,5,5,68
2016041200,2,2,40
2016041400,2,2,21
2016041500,5,5,11
2016041600,2,2,45
2016041700,1,1,5
2016041800,2,2,22
2016041900,2,2,146
2016042100,1,1,5
2016042200,2,2,108
2016042300,26,27,1114
2016042400,5,5,34
2016042500,9,9,175
2016042600,9,11,416
2016042700,4,4,39
2016042800,11,11,558
2016042900,2,2,16
2016043000,7,7,230
2016050100,4,4,24
2016050200,1,1,65
2016050300,7,7,67
2016050400,4,4,49
2016050500,2,2,139
2016050600,10,11,442
2016050700,4,4,18
2016050800,6,6,89
2016050900,4,4,7
2016051100,5,5,30
2016051200,2,2,332
2016051300,1,1,4
