Hour of Day,Sessions
2011110814,5
2011110815,2
2011110907,2
2011110908,2
2011110909,0
2011110910,3
2011110911,3
2011111008,2
2011111408,2
2011111613,2
2011111614,0
2011111718,2
2011111810,3
2011111811,0
2011111812,5
2011111813,0
2011112013,2
2011112113,3
2011112117,2
2011112208,2
2011112209,2
2011112214,2
2011112217,2
2011112308,5
2011112310,2
2011112316,2
2011112317,0
2011112410,2
2011112808,2
2011112809,2
2011112810,2
2011112811,3
2011112909,2
2011112922,2
2011113008,2
2011113009,2
2011113011,2
2011113012,3
2011113013,2
2011113016,2
2011113017,2
2011120108,3
2011120109,0
2011120111,3
2011120119,2
2011120209,3
2011120210,2
2011120212,7
2011120213,2
2011120214,3
2011120215,2
2011120216,9
2011120217,3
2011120220,3
2011120221,2
2011120222,0
2011120223,2
2011120300,2
2011120311,2
2011120315,2
2011120317,2
2011120414,2
2011120507,2
2011120508,3
2011120509,3
2011120510,5
2011120511,3
2011120512,7
2011120514,5
2011120515,7
2011120516,3
2011120517,2
2011120518,2
2011120519,3
2011120520,2
2011120522,3
2011120523,2
2011120607,2
2011120608,9
2011120609,2
2011120610,10
2011120611,3
2011120612,3
2011120613,7
2011120614,3
2011120615,2
2011120616,3
2011120617,2
2011120707,2
2011120708,5
2011120709,2
2011120710,3
2011120711,3
2011120712,5
2011120713,0
2011120714,3
2011120715,0
2011120716,2
2011120717,2
2011120718,2
2011120721,2
2011120722,2
2011120723,2
2011120807,3
2011120808,3
2011120809,5
2011120810,7
2011120811,2
2011120812,7
2011120813,7
2011120814,5
2011120815,2
2011120816,2
2011120817,7
2011120818,2
2011120907,2
2011120908,2
2011120909,2
2011120910,5
2011120911,5
2011120912,12
2011120913,2
2011120914,3
2011120915,12
2011120916,0
2011120917,3
2011120918,2
2011121010,2
2011121017,2
2011121123,3
2011121203,2
2011121207,2
2011121208,3
2011121209,9
2011121210,7
2011121211,5
2011121212,3
2011121213,3
2011121214,2
2011121215,3
2011121216,7
2011121217,2
2011121218,2
2011121307,5
2011121308,7
2011121309,9
2011121310,5
2011121311,3
2011121312,2
2011121313,3
2011121314,3
2011121315,3
2011121316,2
2011121318,2
2011121319,2
2011121320,2
2011121321,2
2011121322,2
2011121400,2
2011121403,2
2011121407,2
2011121408,3
2011121409,2
2011121410,5
2011121411,3
2011121412,3
2011121418,7
2011121419,2
2011121420,2
2011121506,2
2011121507,3
2011121508,2
2011121509,7
2011121510,3
2011121511,10
2011121512,3
2011121514,3
2011121515,2
2011121523,2
2011121608,3
2011121609,3
2011121610,3
2011121611,7
2011121612,7
