,Hour User,Hour Session,Hour Event,Day User,Day Session,Day Event
Count,14759,14759,14759,639,639,639
Q1,9,9,245,234.5,302,12733
Q3,44,41,1902.5,750,1007,48695
Min,1,0,0,95,130,4662
Sum,651701,608222,33388629,426712,608477,33360139
Median,21,19,800,366,499,20175
IQR,35,32,1657,515,705,35962
Range,1406,1347,63814,6299,9098,700005
Mode,2,1,4,223,277,11177
Variance,5768,4902,23905753,600685,1480818,6885518878
Mean,44,41,2262,667,952,52206
Max,1407,1347,63814,6394,9228,704667
StdDev,76,70,4889,775,1217,83044
