Date,Sessions
20111108,7
20111109,12
20111110,3
20111112,1
20111114,2
20111115,1
20111116,3
20111117,3
20111118,10
20111119,1
20111120,3
20111121,6
20111122,8
20111123,9
20111124,2
20111125,1
20111126,1
20111127,1
20111128,10
20111129,4
20111130,15
20111201,10
20111202,38
20111203,7
20111204,3
20111205,54
20111206,47
20111207,35
20111208,52
20111209,50
20111210,5
20111211,4
20111212,51
20111213,52
20111214,33
20111215,39
20111216,35
20111217,3
20111219,29
20111220,27
20111221,24
20111222,22
20111223,13
20111224,7
20111225,9
20111226,9
20111227,20
20111228,12
20111229,17
20111230,14
20111231,4
20120101,3
20120102,2
20120103,14
20120104,14
20120105,8
20120106,14
20120107,2
20120108,3
20120109,14
20120110,8
20120111,7
20120112,12
20120113,16
20120114,1
20120115,3
20120116,7
20120117,26
20120118,96
20120119,435
20120120,238
20120121,70
20120122,93
20120123,125
20120124,74
20120125,42
20120126,50
20120127,37
20120128,16
20120129,17
20120130,40
20120131,35
20120201,82
20120202,39
20120203,38
20120204,16
20120205,14
20120206,51
20120207,97
20120208,39
20120209,31
20120210,30
20120211,20
20120212,10
20120213,51
20120214,27
20120215,39
20120216,37
20120217,25
20120218,18
20120219,5
20120220,25
20120221,25
20120222,23
20120223,34
20120224,20
20120225,9
20120226,20
20120227,44
20120228,71
20120229,141
20120301,75
20120302,44
20120303,12
20120304,3
20120305,31
20120306,42
20120307,36
20120308,29
20120309,29
20120310,14
20120311,28
20120312,55
20120313,108
20120314,75
20120315,64
20120316,93
20120317,33
20120318,52
20120319,53
20120320,44
20120321,43
20120322,54
20120323,45
20120324,31
20120325,37
20120326,57
20120327,99
20120328,58
20120329,52
20120330,39
20120331,55
20120401,18
20120402,32
20120403,29
20120404,44
20120405,32
20120406,22
20120407,10
20120408,5
20120409,14
20120410,28
20120411,40
20120412,74
20120413,67
20120414,20
20120415,7
20120416,25
20120417,24
20120418,23
20120419,15
20120420,28
20120421,4
20120422,2
20120423,17
20120424,27
20120425,21
20120426,28
20120427,9
20120428,4
20120429,11
20120430,26
20120501,22
20120502,12
