Minimum temperatures

Date, d0, d1, d2, d3, d4 ,d5, d6
20171116, 56, 0, 0, 0, 0, 0, 0
20171117, 57, 57, 0, 0, 0, 0, 0
20171118, 53, 55, 51, 0, 0, 0, 0
20171119, 48, 49, 48, 49, 0, 0, 0
20171120, 45, 46, 49, 49, 50, 0, 0
20171121, 51, 52, 54, 54, 52, 53, 0
20171122, 56, 56, 56, 56, 56, 56, 57
20171123, 59, 60, 61, 59, 58, 59, 57
20171124, 59, 58, 58, 58, 56, 57, 58
20171125, 55, 56, 55, 55, 56, 57, 56
20171126, 52, 53, 54, 53, 52, 54, 55
20171127, 54, 52, 54, 53, 53, 52, 53
20171128, 45, 46, 47, 48, 51, 49, 52
20171129, 47, 49, 51, 51, 49, 54, 50
20171130, 0, 49, 50, 54, 52, 49, 50
20171131, 0, 0, 50, 53, 54, 53, 49
20171132, 0, 0, 0, 52, 51, 51, 53
20171133, 0, 0, 0, 0, 50, 52, 51
20171134, 0, 0, 0, 0, 0, 49, 45
20171135, 0, 0, 0, 0, 0, 0, 50

Maximum Temperatures

Date, d0, d1, d2, d3, d4 ,d5, d6
20171116, 77, 0, 0, 0, 0, 0, 0
20171117, 72, 71, 0, 0, 0, 0, 0
20171118, 73, 73, 74, 0, 0, 0, 0
20171119, 74, 73, 73, 74, 0, 0, 0
20171120, 74, 74, 72, 71, 75, 0, 0
20171121, 83, 84, 82, 77, 77, 77, 0
20171122, 91, 93, 88, 88, 84, 81, 79
20171123, 88, 89, 89, 87, 87, 85, 82
20171124, 83, 82, 84, 84, 82, 84, 82
20171125, 77, 79, 80, 80, 81, 77, 78
20171126, 72, 75, 74, 75, 77, 78, 76
20171127, 65, 65, 66, 68, 70, 70, 71
20171128, 72, 74, 74, 73, 79, 79, 77
20171129, 69, 74, 73, 73, 73, 80, 80
20171130, 0, 72, 74, 75, 75, 75, 76
20171131, 0, 0, 77, 78, 74, 73, 74
20171132, 0, 0, 0, 75, 72, 68, 69
20171133, 0, 0, 0, 0, 68, 64, 65
20171134, 0, 0, 0, 0, 0, 67, 64
20171135, 0, 0, 0, 0, 0, 0, 68

Minimum errors for 1 day prediction, 6 day prediction, and overall error.

Date, d0, d1, d2, d3, d4 ,d5, d6, e1, e2, e3, e4, e5, e6, eO
20171122, 56, 56, 56, 56, 56, 56, 57, 0.0, 0.0, 0.0, 0.0, 0.0, 1.79, 9.5
20171123, 59, 60, 61, 59, 58, 59, 57, 1.69, 3.39, 0.0, 1.69, 0.0, 3.39, 10.63
20171124, 59, 58, 58, 58, 56, 57, 58, 1.69, 1.69, 1.69, 5.08, 3.39, 1.69, 11.92
20171125, 55, 56, 55, 55, 56, 57, 56, 1.82, 0.0, 0.0, 1.82, 3.64, 1.82, 10.55
20171126, 52, 53, 54, 53, 52, 54, 55, 1.92, 3.85, 1.92, 0.0, 3.85, 5.77, 11.09
20171127, 54, 52, 54, 53, 53, 52, 53, 3.7, 0.0, 1.85, 1.85, 3.7, 1.85, 10.68
20171128, 45, 46, 47, 48, 51, 49, 52, 2.22, 4.44, 6.67, 13.33, 8.89, 15.56, 14.59
20171129, 47, 49, 51, 51, 49, 54, 50, 4.26, 8.51, 8.51, 4.26, 14.89, 6.38, 15.07

Maximum Errors for 1 day prediction, 6 day prediction, and overall error.

Date, d0, d1, d2, d3, d4 ,d5, d6, e1, e2, e3, e4, e5, e6, eO
20171122, 91, 93, 88, 88, 84, 81, 79, 2.2, 3.3, 3.3, 7.69, 10.99, 13.19, 17.75
20171123, 88, 89, 89, 87, 87, 85, 82, 1.14, 1.14, 1.14, 1.14, 3.41, 6.82, 14.99
20171124, 83, 82, 84, 84, 82, 84, 82, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 14.67
20171125, 77, 79, 80, 80, 81, 77, 78, 2.6, 3.9, 3.9, 5.19, 0.0, 1.3, 15.6
20171126, 72, 75, 74, 75, 77, 78, 76, 4.17, 2.78, 4.17, 6.94, 8.33, 5.56, 17.07
20171127, 65, 65, 66, 68, 70, 70, 71, 0.0, 1.54, 4.62, 7.69, 7.69, 9.23, 15.42
20171128, 72, 74, 74, 73, 79, 79, 77, 2.78, 2.78, 1.39, 9.72, 9.72, 6.94, 17.23
20171129, 69, 74, 73, 73, 73, 80, 80, 7.25, 5.8, 5.8, 5.8, 15.94, 15.94, 20.1
